City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Tasiilaq,GL,65.6145,-37.6368,41.49,96,100,19.13,moderate rain
79,Hami,CN,42.8,93.45,84.83,14,26,6.8,scattered clouds
80,Awbari,LY,26.5921,12.7805,105.46,6,0,8.46,clear sky
81,Salalah,OM,17.0151,54.0924,77.43,88,89,6.91,overcast clouds
82,Hithadhoo,MV,-0.6,73.0833,82.71,72,97,5.79,overcast clouds
83,Severo-Kurilsk,RU,50.6789,156.125,52.75,80,38,10.25,scattered clouds
84,Tateyama,JP,34.9833,139.8667,84.22,89,100,21.12,overcast clouds
85,Sangar,RU,63.9242,127.4739,60.49,38,1,9.51,clear sky
86,Khaga,IN,25.7833,81.1167,81.72,84,98,4.74,overcast clouds
87,Souillac,MU,-20.5167,57.5167,69.37,100,75,5.75,moderate rain
88,Samarai,PG,-10.6167,150.6667,77.85,79,99,16.84,overcast clouds
89,Nemuro,JP,43.3236,145.575,64.02,90,100,23.44,overcast clouds
90,Fomboni,KM,-12.28,43.7425,76.62,69,41,12.77,light rain
91,Guerrero Negro,MX,27.9769,-114.0611,75.88,66,6,9.98,clear sky
92,Lebu,CL,-37.6167,-73.65,50.36,65,42,10.89,scattered clouds
93,Hammerfest,NO,70.6634,23.6821,73.85,35,0,13.8,clear sky
94,Jishou,CN,28.3167,109.7167,78.98,94,100,2.3,moderate rain
95,New Norfolk,AU,-42.7826,147.0587,44.1,82,12,2.98,few clouds
96,Riohacha,CO,11.5444,-72.9072,89.35,55,78,12.86,broken clouds
97,Torbay,CA,47.6666,-52.7314,77.88,77,75,14.97,broken clouds
98,Vila Franca Do Campo,PT,37.7167,-25.4333,72.01,72,47,8.97,scattered clouds
99,Yerbogachen,RU,61.2767,108.0108,51.75,58,1,1.12,clear sky
100,Russell,US,32.3502,-85.1999,92.97,58,75,0.0,broken clouds
101,Waingapu,ID,-9.6567,120.2641,73.56,79,62,8.05,broken clouds
102,Cabo San Lucas,MX,22.8909,-109.9124,91.06,63,1,4.0,clear sky
103,Cherskiy,RU,68.75,161.3,47.68,60,28,2.17,scattered clouds
104,Tuatapere,NZ,-46.1333,167.6833,35.82,84,99,6.82,overcast clouds
105,Hobart,AU,-42.8794,147.3294,44.46,84,10,3.0,clear sky
106,Mount Pleasant,US,32.7941,-79.8626,90.99,74,75,3.0,broken clouds
107,Proddatur,IN,14.7333,78.55,90.43,48,98,7.74,overcast clouds
108,Kodiak,US,57.79,-152.4072,52.63,95,98,4.25,light rain
109,Mar Del Plata,AR,-38.0023,-57.5575,50.02,66,0,11.5,clear sky
110,Victoria,HK,22.2855,114.1577,86.05,92,100,1.01,heavy intensity rain
111,Havoysund,NO,70.9963,24.6622,74.28,56,11,10.83,few clouds
112,Geraldton,AU,-28.7667,114.6,64.81,88,90,12.66,overcast clouds
113,Pisco,PE,-13.7,-76.2167,63.01,77,90,2.3,overcast clouds
114,Abu Samrah,SY,35.3029,37.1841,82.15,48,0,16.35,clear sky
115,Hay River,CA,60.8156,-115.7999,46.18,67,100,4.74,overcast clouds
116,Kavieng,PG,-2.5744,150.7967,81.0,76,90,10.07,light rain
117,Srednekolymsk,RU,67.45,153.6833,49.15,73,6,2.59,clear sky
118,Sur,OM,22.5667,59.5289,90.45,56,0,9.57,clear sky
119,Deputatskiy,RU,69.3,139.9,48.65,77,61,2.64,broken clouds
120,Kiruna,SE,67.8557,20.2251,58.12,77,90,14.97,light rain
121,Esperance,AU,-33.8667,121.9,62.44,77,8,14.74,clear sky
122,Narsaq,GL,60.9167,-46.05,48.69,62,15,11.41,few clouds
123,Vila Velha,BR,-20.3297,-40.2925,71.55,73,75,9.22,broken clouds
124,Chuy,UY,-33.6971,-53.4616,68.07,74,81,6.76,broken clouds
125,Havre,FR,49.5833,0.3333,68.43,68,75,13.8,broken clouds
126,Esfahan,IR,32.6572,51.6776,87.44,19,92,6.6,overcast clouds
127,Codrington,AU,-38.2667,141.9667,45.75,75,85,9.4,overcast clouds
128,Grindavik,IS,63.8424,-22.4338,64.56,63,0,16.11,clear sky
129,San Patricio,US,28.017,-97.5169,92.12,52,9,17.72,clear sky
130,Cacu,BR,-18.5567,-51.1308,87.35,23,0,8.08,clear sky
131,Puerto Ayora,EC,-0.7393,-90.3518,75.16,84,37,11.01,scattered clouds
132,Aljezur,PT,37.3191,-8.8033,69.84,62,0,16.02,clear sky
133,Laguna,US,38.421,-121.4238,85.6,59,1,1.01,clear sky
134,Port Blair,IN,11.6667,92.75,82.45,83,88,10.42,overcast clouds
135,Boende,CD,-0.2167,20.8667,82.13,51,95,4.23,overcast clouds
136,Aklavik,CA,68.2191,-135.0107,48.2,81,75,0.0,broken clouds
137,Provideniya,RU,64.3833,-173.3,44.46,86,100,14.09,overcast clouds
138,Bathsheba,BB,13.2167,-59.5167,88.41,74,40,21.85,scattered clouds
139,Chokurdakh,RU,70.6333,147.9167,50.94,62,82,7.76,broken clouds
140,Longyearbyen,SJ,78.2186,15.6401,44.44,81,20,12.66,few clouds
141,Kaitangata,NZ,-46.2817,169.8464,36.09,90,82,8.19,broken clouds
142,Seka,TH,17.9285,103.9552,82.2,80,100,1.3,overcast clouds
143,Najran,SA,17.4924,44.1277,95.65,13,77,12.46,broken clouds
144,Havre-Saint-Pierre,CA,50.2334,-63.5986,61.9,54,7,12.57,clear sky
145,Hajnowka,PL,52.7433,23.5812,70.02,75,59,5.86,broken clouds
146,Salzwedel,DE,52.85,11.15,73.38,49,97,9.84,overcast clouds
147,Luanda,AO,-8.8368,13.2343,75.2,78,0,6.91,clear sky
148,Nelson Bay,AU,-32.7167,152.15,60.01,77,99,9.84,overcast clouds
149,Mahon,ES,39.8885,4.2658,79.36,57,0,14.97,clear sky
150,Caravelas,BR,-17.7125,-39.2481,75.81,59,16,10.4,few clouds
151,San Cristobal,VE,7.7669,-72.225,82.83,56,70,1.12,broken clouds
152,Leningradskiy,RU,69.3833,178.4167,36.43,83,59,15.17,broken clouds
153,Pacific Grove,US,36.6177,-121.9166,77.81,94,34,5.99,scattered clouds
154,Antalaha,MG,-14.9003,50.2788,71.02,77,83,8.88,broken clouds
155,Quatre Cocos,MU,-20.2078,57.7625,69.1,90,95,20.27,light rain
156,Dunedin,NZ,-45.8742,170.5036,35.01,95,80,14.12,light rain
157,Mahebourg,MU,-20.4081,57.7,69.26,100,75,5.75,moderate rain
158,Yar-Sale,RU,66.8333,70.8333,56.28,72,88,16.78,overcast clouds
159,Gazanjyk,TM,39.2446,55.5154,98.46,10,0,11.21,clear sky
160,Ischia,IT,40.7342,13.9471,85.55,81,34,5.01,scattered clouds
161,Melilla,ES,35.2937,-2.9383,82.78,36,0,9.22,clear sky
162,Sal Rei,CV,16.1833,-22.9167,89.8,58,75,9.22,broken clouds
163,Pervoye Maya,RU,56.164,44.7196,83.91,50,46,7.27,scattered clouds
164,Gondanglegi,ID,-7.7479,112.0132,74.86,87,32,5.61,light rain
165,Oranjestad,AW,12.524,-70.027,81.46,80,32,15.32,scattered clouds
166,Polunochnoye,RU,60.8697,60.4153,54.99,92,55,5.08,broken clouds
167,Solnechnyy,RU,50.7214,136.6319,49.08,100,100,4.29,overcast clouds
168,Dikson,RU,73.5069,80.5464,48.34,73,2,3.51,clear sky
169,Sambava,MG,-14.2667,50.1667,71.22,82,24,12.68,few clouds
170,Kahului,US,20.8947,-156.47,71.96,84,8,9.44,clear sky
171,Houma,US,29.5958,-90.7195,93.99,60,3,8.99,clear sky
172,Floro,NO,61.5996,5.0328,68.7,63,64,8.05,broken clouds
173,Saint-Philippe,RE,-21.3585,55.7679,69.39,83,33,8.63,scattered clouds
174,Sisophon,KH,13.5859,102.9737,80.17,85,100,5.14,overcast clouds
175,Iqaluit,CA,63.7506,-68.5145,42.53,93,90,6.91,light rain
176,Khatanga,RU,71.9667,102.5,53.98,61,96,14.7,overcast clouds
177,Tual,ID,-5.6667,132.75,79.84,81,100,18.57,overcast clouds
178,Maisach,DE,48.2167,11.2667,62.83,77,90,9.22,overcast clouds
